comment,violence_score,violence_type,reason,confidence,needs_review,raw_content,source_file,created_at,raw_response
就是就是,0.8,harassment,虽然'就是就是'本身没有明确的攻击性词汇，但其使用通常带有挑衅、不耐烦或轻蔑的意味，在网络语境下可能被视为一种轻微的侮辱或挑衅，属于网络暴力的一种形式。,0.9,False,就是就是,processed_comments_weibo_4000.csv,2025-03-26 16:03:45+08:00,
终究还是自己承担了所有,0.6,harassment,虽然没有直接的侮辱性词汇，但这句话暗示了对某人的指责和否定，可能带有贬低和攻击的意味，属于网络暴力的一种形式。,0.9,False,终究还是自己承担了所有,processed_comments_weibo_4000.csv,2025-03-26 13:14:11+08:00,
#女子靠4000工资养家盼丈夫共同承担#\n盼..真的不知道说啥好了 ​​​,0.6,harassment,虽然没有直接的侮辱性言论，但评论中使用了‘不知道说啥好了’，暗示了对相关情况的不满和轻蔑，带有贬低和否定意味，属于网络暴力的一种形式。,0.9,False,#女子靠4000工资养家盼丈夫共同承担#\n盼..真的不知道说啥好了 ​​​,processed_comments_weibo_4000.csv,2025-03-26 13:58:22+08:00,
但是人家十年都没离。,0.6,harassment,虽然没有直接的侮辱性词语，但这句话暗示了对某人的负面评价，并可能带有贬低和羞辱的意味，属于网络暴力的一种形式。,0.9,False,但是人家十年都没离。[揣手],processed_comments_weibo_4000.csv,2010-09-02 14:09:21+08:00,
是的,0.2,无,评论仅包含'是的'，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.95,False,是的[揣手],processed_comments_weibo_4000.csv,2025-03-26 14:04:21+08:00,
哈哈哈哈哈所以路人少管,0.6,harassment,虽然没有直接的攻击性言论，但'少管'带有挑衅和不尊重他人的意味，可能被解读为对他人意见的否定和轻蔑，属于网络暴力的一种形式。,0.9,False,哈哈哈哈哈所以路人少管,processed_comments_weibo_4000.csv,2025-03-26 14:05:55+08:00,
真难😨,0.3,无,评论仅包含'真难😨'，表达了负面情绪，但没有包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,真难😨,processed_comments_weibo_4000.csv,2025-03-26 14:04:21+08:00,
趁早离开 自己独美吧,0.6,harassment,虽然没有直接的威胁或歧视，但“趁早离开 自己独美吧”这句话带有明显的贬低和否定意味，构成一种侮辱性言论，具有潜在的攻击性。,0.9,False,[干饭人][干饭人][干饭人]趁早离开 自己独美吧,processed_comments_weibo_4000.csv,2023-01-11 19:59:29+08:00,
难评,0.6,harassment,评论“难评”本身具有贬义色彩，可能被解读为对某人或某事的不满或否定，带有轻微的侮辱性意味。虽然没有直接的威胁或攻击性言论，但其含义具有潜在的伤害性。,0.9,False,难评[淡淡的],processed_comments_weibo_4000.csv,2025-03-26 14:04:21+08:00,
太难了,0.3,无,评论仅表达了困难的情绪，不包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,太难了[淡淡的],processed_comments_weibo_4000.csv,2025-03-26 14:01:17+08:00,
日子咋过得下去的,0.6,harassment,虽然没有直接的侮辱性词语，但表达了一种绝望和沮丧的情绪，可能暗示着对他人或自身的不满，具有潜在的攻击性或负面情绪，属于网络暴力的一种表现形式。,0.9,False,日子咋过得下去的,processed_comments_weibo_4000.csv,2019-07-19 16:10:02+08:00,
这样都能坚持,0.6,harassment,虽然没有直接的攻击性词语，但'这样都能坚持'可能暗示对他人努力的贬低或嘲讽，带有轻微的侮辱性意味，属于网络暴力的一种形式。,0.9,False,这样都能坚持[允悲],processed_comments_weibo_4000.csv,2025-03-26 14:02:41+08:00,
婚姻给女人带来了什么,0.6,harassment,该评论隐含着对女性的负面评价和质疑，可能包含潜在的侮辱和贬低，带有攻击性。,0.9,False,[老师好]婚姻给女人带来了什么,processed_comments_weibo_4000.csv,2010-09-02 14:09:21+08:00,
无语了,0.3,无,评论仅包含'无语了'，表达了失望或愤怒的情绪，不包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,无语了,processed_comments_weibo_4000.csv,2025-03-26 14:01:17+08:00,
女人要爱自己,0.6,harassment,虽然这句话本身没有直接的威胁或攻击性，但其隐含的性别歧视意味和带有贬低女性的暗示，可以被视为一种侮辱和贬低，构成网络暴力。,0.9,False,女人要爱自己,processed_comments_weibo_4000.csv,2019-07-19 16:10:02+08:00,
男人能干啥,0.6,harassment,该评论使用带有性别歧视色彩的侮辱性语言，虽然没有直接威胁或歧视，但其隐含的贬低意味构成网络暴力。,0.9,False,男人能干啥,processed_comments_weibo_4000.csv,2021-10-28 22:25:28+08:00,
确实难评,0.3,无,评论仅为'确实难评'，表达了对情况的判断，不包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,确实难评,processed_comments_weibo_4000.csv,2025-03-26 14:02:37+08:00,
啥也别说，看看就行,0.6,harassment,虽然没有直接的攻击性言论，但'啥也别说，看看就行'带有轻蔑和不尊重意味，可能被解读为一种不友好的拒绝或嘲讽，属于网络暴力的一种形式。,0.9,False,啥也别说，看看就行,processed_comments_weibo_4000.csv,2010-09-02 14:09:21+08:00,
劝离,0.8,harassment,‘劝离’ 带有强烈的排斥和否定意味，可能被解读为一种侮辱和威胁，具有攻击性。,0.9,False,劝离,processed_comments_weibo_4000.csv,2025-03-26 13:59:00+08:00,
离不离都那样,0.6,harassment,"评论内容""离不离都那样"" 具有模糊的指责意味，可能暗示对某人或某事的不满和负面评价，属于侮辱性言论，带有潜在的攻击性。",0.9,False,离不离都那样,processed_comments_weibo_4000.csv,2021-10-28 22:25:28+08:00,
命太苦了,0.6,harassment,虽然没有直接攻击特定个人，但'命太苦了'这句话带有消极、绝望的意味，可能被解读为对自身处境的抱怨，在特定语境下可能被视为一种轻微的侮辱或消极情绪的表达，具有潜在的伤害性。,0.9,False,命太苦了,processed_comments_weibo_4000.csv,2010-09-02 14:09:21+08:00,
有吗 要不你也拿4000工资养我,0.8,harassment,评论包含具有威胁性和侮辱性的言论，要求对方提供经济支持，带有强迫和贬低意味。,0.9,False,有吗[喵喵][喵喵] 要不你也拿4000工资养我[好喜欢][好喜欢][好喜欢],processed_comments_weibo_4000.csv,2025-03-26 14:56:38+08:00,
海盐说养我们两,0.8,harassment,评论使用'海盐说养我们两'这句话，带有明显的贬低和嘲讽意味，构成网络暴力。,0.9,False,海盐说养我们两,processed_comments_weibo_4000.csv,2025-03-26 15:02:20+08:00,
回复@州_被瑞鹏点赞版:海盐是谁为什么养你俩不养我,0.8,harassment,评论包含侮辱性语言（'养你俩'）并带有针对特定个人的攻击性言论，构成网络暴力。,0.9,False,回复@州_被瑞鹏点赞版:海盐是谁[哆啦A梦害怕][哆啦A梦害怕]为什么养你俩不养我[悲伤],processed_comments_weibo_4000.csv,2025-03-26 15:06:50+08:00,
谁允许你学我了,0.6,harassment,"该评论使用带有攻击性的语言 (""谁允许你学我了"")，带有贬低和威胁的意味，构成网络暴力。",0.9,False,谁允许你学我了[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕],processed_comments_weibo_4000.csv,2025-03-26 13:35:46+08:00,
你也用四千的工资养我,0.8,harassment,该评论包含具有攻击性和控制欲的言论，带有侮辱性和威胁意味，试图通过经济压力施加控制。,0.9,False,[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕]你也用四千的工资养我,processed_comments_weibo_4000.csv,2025-03-26 13:36:32+08:00,
回复@州_被瑞鹏点赞版:,0.6,harassment,评论内容仅为'@州_被瑞鹏点赞版'，缺乏具体内容，但提及'@州_被瑞鹏'可能暗示了针对特定个人的攻击性行为，属于网络暴力的一种形式。由于缺乏具体内容，暴力程度评分降低。,0.9,False,回复@州_被瑞鹏点赞版:[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕],processed_comments_weibo_4000.csv,2025-03-26 13:40:11+08:00,
我就不信一个正常健康的男人出去挣不到钱，这种事如果是真的，那么只能说这个男人废了,0.8,harassment,评论使用'废了'等侮辱性词汇，带有贬低和威胁意味，对个人进行精神攻击。,0.9,False,我就不信一个正常健康的男人出去挣不到钱，这种事如果是真的，那么只能说这个男人废了[允悲],processed_comments_weibo_4000.csv,2025-03-26 20:47:32+08:00,
你这话放哪种性别上都适用,0.6,harassment,虽然没有直接的威胁或歧视，但这句话带有贬低和攻击性，暗示对方的观点不正确，带有侮辱性意味。,0.9,False,你这话放哪种性别上都适用,processed_comments_weibo_4000.csv,2025-03-26 22:45:06+08:00,
做一个免费活动：【专业情感分析】http://t.cn/A6BREn7S,0.3,无,评论仅提供活动链接，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,做一个免费活动：【专业情感分析】http://t.cn/A6BREn7S,processed_comments_weibo_4000.csv,2025-03-26 13:20:20+08:00,
如果你有婚姻问题，感情危机、出轨难题，可以把你的问题私信我，我帮你分析、处理。,0.6,harassment,虽然没有直接的威胁或侮辱，但主动提供‘私信’寻求个人问题，可能被解读为一种潜在的操控或利用，存在一定的潜在风险和不健康的心理暗示，因此被判定为轻微的骚扰。,0.9,False,如果你有婚姻问题，感情危机、出轨难题，可以把你的问题私信我，我帮你分析、处理。,processed_comments_weibo_4000.csv,2025-03-26 12:54:26+08:00,
爱在细节中找回温暖,0.1,无,评论内容表达了积极的情感，没有任何侮辱、威胁、歧视或煽动性言论。,0.95,False,爱在细节中找回温暖,processed_comments_weibo_4000.csv,2025-03-26 12:55:24+08:00,
想清楚再行动，不要后悔一生,0.6,harassment,虽然没有直接的侮辱或威胁，但这句话带有强烈的指责和否定意味，可能造成精神压力和负面影响，属于一种带有攻击性的言论。,0.9,False,想清楚再行动，不要后悔一生,processed_comments_weibo_4000.csv,2025-03-26 12:55:25+08:00,
提前沟通也太重要了！,0.3,无,评论仅表达了对提前沟通重要性的观点，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,提前沟通也太重要了！,processed_comments_weibo_4000.csv,2025-03-26 12:55:24+08:00,
考虑孩子和父母，婚姻需慎重决定,0.3,无,评论表达了对婚姻慎重考虑的建议，不包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,考虑孩子和父母，婚姻需慎重决定,processed_comments_weibo_4000.csv,2025-03-26 12:55:25+08:00,
对啊,0.3,无,评论仅为'对啊'，表达了同意，不包含任何侮辱、威胁、歧视或煽动性内容。,0.95,False,对啊,processed_comments_weibo_4000.csv,2025-03-26 17:25:45+08:00,
这得毅力有多强大啊,0.3,无,评论仅表达了对某人毅力的赞叹，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,这得毅力有多强大啊,processed_comments_weibo_4000.csv,2025-03-26 17:24:10+08:00,
还要他干嘛？,0.6,harassment,虽然没有直接的侮辱性词语，但这句话带有贬低和否定对方能力的意思，具有潜在的侮辱和贬低意味，属于网络暴力的一种形式。,0.9,False,还要他干嘛？,processed_comments_weibo_4000.csv,2025-03-26 17:49:34+08:00,
可以暖jio,0.8,harassment,‘暖jio’ 是一个侮辱性词汇，带有攻击性和贬义，属于网络暴力。,0.9,False,[允悲]可以暖jio,processed_comments_weibo_4000.csv,2025-03-26 19:43:49+08:00,
形容的好,0.3,无,该评论仅表达了积极评价，不包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,[笑cry]形容的好,processed_comments_weibo_4000.csv,2025-03-26 22:03:04+08:00,
互相包容互相理解,0.1,无,评论内容表达了积极的包容和理解，不包含任何侮辱、威胁、歧视或煽动性言论。,0.95,False,互相包容互相理解[good],processed_comments_weibo_4000.csv,2025-03-26 19:58:05+08:00,
哈哈哈好大儿,0.6,harassment,‘好大儿’带有明显的贬义，带有侮辱性，属于网络暴力中的侮辱行为。,0.9,False,哈哈哈好大儿,processed_comments_weibo_4000.csv,2025-03-26 19:50:09+08:00,
#教育##教育#\n如何让孩子自发学习\n第三篇 倌格\n\n如何让孩子自发学习？\n答案很简单\n就是了解你孩子的欲望在哪\n俗话说：有欲望，才有发展动力\n只有知道孩子的欲望在哪\n再引导他合理树立目标\n等有目标了，他就能自发学习了\n同时你要了解你的孩子\n了解孩子的强项是什么？弱项是什么\n从而做出一个合理 ​​​,0.3,无,评论内容仅提供关于如何培养孩子自发学习的建议，没有包含任何侮辱、威胁、歧视或煽动性言论。,0.95,False,#教育##教育[超话]#\n如何让孩子自发学习\n第三篇 倌格\n\n如何让孩子自发学习？\n答案很简单\n就是了解你孩子的欲望在哪\n俗话说：有欲望，才有发展动力\n只有知道孩子的欲望在哪\n再引导他合理树立目标\n等有目标了，他就能自发学习了\n同时你要了解你的孩子\n了解孩子的强项是什么？弱项是什么\n从而做出一个合理 ​​​,processed_comments_weibo_4000.csv,2025-03-26 13:08:50+08:00,
博主，我家也是正倌格，高三了，应该报什么专业,0.6,harassment,虽然没有直接的威胁或攻击性言论，但“正倌格”这个词语可能带有贬义，且询问专业选择带有一定的针对性，可能构成网络骚扰或恶意询问。,0.9,False,博主，我家也是正倌格，高三了，应该报什么专业,processed_comments_weibo_4000.csv,2025-03-26 14:18:09+08:00,
如果叭字中有財，报经济，金融相关专业，如果叭字中有食伤，报考法学,0.6,harassment,虽然没有直接的威胁或攻击性词语，但'叭字'的使用带有贬义，可能构成一种轻微的侮辱性言论，带有攻击性暗示。,0.7,False,如果叭字中有財，报经济，金融相关专业，如果叭字中有食伤，报考法学,processed_comments_weibo_4000.csv,2013-12-17 02:27:32+08:00,
如果需要细测孩子叭字，全面了解孩子的命理和运势，了解孩子最佳职业方向，从小该如何培养，高考应该选什么专业，可以联系我,0.6,harassment,虽然没有直接的威胁或侮辱，但评论以一种推销性质的方式，暗示通过解读孩子命理和运势来影响其发展方向，可能被解读为一种控制和干预，带有潜在的施压意味，属于轻微的骚扰和操控。,0.9,False,如果需要细测孩子叭字，全面了解孩子的命理和运势，了解孩子最佳职业方向，从小该如何培养，高考应该选什么专业，可以联系我,processed_comments_weibo_4000.csv,2014-03-12 05:54:41+08:00,
想了解孩子是什么格局，给我关注+5个点赞后评论区留言：性别、出生年月日时，出生地（具体到省市区县），可告知是什么格局（若我长时间没回复，可私信发我留言截图），若另外再留言：我孩子格局可评多少分？我可再次回答。,0.8,harassment,该评论要求收集个人敏感信息（性别、出生年月日时、出生地），并带有潜在的威胁性（长时间没回复可私信发截图），构成对个人隐私的侵犯和潜在的骚扰。,0.9,False,想了解孩子是什么格局，给我关注+5个点赞后评论区留言：性别、出生年月日时，出生地（具体到省市区县），可告知是什么格局（若我长时间没回复，可私信发我留言截图），若另外再留言：我孩子格局可评多少分？我可再次回答。,processed_comments_weibo_4000.csv,2025-03-26 14:18:09+08:00,
完全符合实际情况！我家神兽就是这样,0.6,harassment,使用'神兽'一词，带有贬义，可能被解读为对特定人群的侮辱性言论，虽然没有直接的攻击性，但潜在的含义具有攻击性。,0.9,False,完全符合实际情况！我家神兽就是这样,processed_comments_weibo_4000.csv,2013-12-17 02:27:32+08:00,
老师分析到位！我家那个是七刹格，确实这样的,0.6,harassment,虽然评论内容看似赞扬老师，但使用了'七刹格'这个词，在特定语境下可能带有贬义或侮辱性，暗示对某人的评价或描述，属于网络暴力的一种形式。,0.9,False,老师分析到位！我家那个是七刹格，确实这样的,processed_comments_weibo_4000.csv,2025-03-26 13:20:03+08:00,
博主说的太及时了，我正头疼着呢，这样说我就知道怎么做了,0.3,无,评论内容表达了对博主言论的赞同和感谢，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,博主说的太及时了，我正头疼着呢，这样说我就知道怎么做了,processed_comments_weibo_4000.csv,2014-03-12 05:54:41+08:00,
老师太懂了！我家娃就是倌格，性格和你说的一模一样,0.3,无,评论内容表达了对老师的赞扬，并用‘倌格’来形容孩子，没有明显的侮辱、威胁、歧视或煽动性内容。,0.9,False,老师太懂了！我家娃就是倌格，性格和你说的一模一样,processed_comments_weibo_4000.csv,2025-03-26 13:18:33+08:00,
太有共鸣了！感谢老师，我知道该怎么引导了,0.2,无,评论表达了对“老师”的感谢和理解，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.95,False,太有共鸣了！感谢老师，我知道该怎么引导了,processed_comments_weibo_4000.csv,2014-03-12 05:54:41+08:00,
分析得太准了！我家宝贝就是这样，从小就像,0.7,harassment,"评论中使用了带有侮辱性的表达 (""我家宝贝"")，暗示对某人的贬低，属于网络暴力。",0.9,False,分析得太准了！我家宝贝就是这样，从小就像,processed_comments_weibo_4000.csv,2025-03-26 14:17:15+08:00,
完全说到心坎里了，我家那个就是喜欢管人,0.6,harassment,评论中‘喜欢管人’带有轻微的指责和不满，可能被解读为对特定人的侮辱或贬低，带有潜在的威胁性。,0.9,False,完全说到心坎里了，我家那个就是喜欢管人,processed_comments_weibo_4000.csv,2016-06-05 12:05:37+08:00,
老师说的太真实了！和我家娃简直一模一样,0.3,无,评论内容表达了对老师的赞同，并未包含任何侮辱、威胁、歧视或煽动性言论。,0.9,False,老师说的太真实了！和我家娃简直一模一样,processed_comments_weibo_4000.csv,2025-03-26 14:17:07+08:00,
老师说的太对了，我家的就是这样,0.6,harassment,虽然没有直接的攻击性言论，但使用'老师说的太对了'可能暗示对不同观点持有贬低或否定态度，带有轻微的指责和羞辱意味，属于网络暴力的一种形式。,0.9,False,老师说的太对了，我家的就是这样,processed_comments_weibo_4000.csv,2016-03-28 05:14:14+08:00,
说对了！我家娃就是这样，我知道该如何引导和培养了,0.2,无,评论内容表达了对自身行为的肯定，并分享了个人经验，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,说对了！我家娃就是这样，我知道该如何引导和培养了,processed_comments_weibo_4000.csv,2025-03-26 14:13:11+08:00,
这说的就是我闺女！从小喜欢管东管西,0.6,harassment,"评论使用带有指责和贬低意味的语言 (""喜欢管东管西"")，带有一定的侮辱性，虽然没有直接威胁或歧视，但属于网络暴力的一种形式。",0.9,False,这说的就是我闺女！从小喜欢管东管西,processed_comments_weibo_4000.csv,2012-12-23 22:29:42+08:00,
说对了！我家那个是倌格，确实很有领导气质,0.3,无,评论内容仅表达了对某人的赞同，没有包含任何侮辱、威胁、歧视或煽动性言论。,0.9,False,说对了！我家那个是倌格，确实很有领导气质,processed_comments_weibo_4000.csv,2025-03-26 14:12:19+08:00,
老师，怎么联系你，我要全面测算一下我家的,0.8,harassment,"评论使用不礼貌的语言 (""我要全面测算"")，带有强烈的施压意味，可能暗示对老师的骚扰或威胁。 缺乏上下文，但表达方式具有潜在的侵略性。",0.9,False,老师，怎么联系你，我要全面测算一下我家的,processed_comments_weibo_4000.csv,2025-03-26 14:08:54+08:00,
老师分析到位！我家娃就是倌格的，就是小倌迷,0.8,harassment,使用'小倌'一词，带有明显的贬义和侮辱性色彩，暗示对他人（可能指学生）的贬低和污名化。,0.9,False,老师分析到位！我家娃就是倌格的，就是小倌迷,processed_comments_weibo_4000.csv,2012-09-18 14:18:20+08:00,
博主分析得太仔细了！我家娃确实是这样,0.3,无,评论仅表达了对博主分析的认可，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,博主分析得太仔细了！我家娃确实是这样,processed_comments_weibo_4000.csv,2025-03-26 14:07:56+08:00,
